Flora Description,Flora Type,Installation Date,Location
Sasa minor 750ct,PERENNIAL,06/04/2001,Greenwich Village
Taxus cuspidata ;Nana; 16ct,SHRUB,06/04/2001,Greenwich Village
Ilex glabra ;Compacta; 16ct,SHRUB,06/04/2001,Greenwich Village
Myrica pennsylvanica 18ct,SHRUB,06/04/2001,Greenwich Village
Hydrangea quercifolia 5ct,SHRUB,06/04/2001,Greenwich Village
Clethra alnifolia ;Hummingbird; 8ct,SHRUB,06/04/2001,Greenwich Village
Itea virginica 3ct,SHRUB,06/04/2001,Greenwich Village
Euonymus fortuneii coloratus 100ct,VINE,06/04/2001,Greenwich Village
Spirea x bumalda ;Anthony Waterer; 4ct,SHRUB,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Tilia tomentosa,TREE,06/04/2001,Greenwich Village
Tilia tomentosa,TREE,06/04/2001,Greenwich Village
Tilia tomentosa,TREE,06/04/2001,Greenwich Village
Tilia tomentosa,TREE,06/04/2001,Greenwich Village
Tilia tomentosa,TREE,06/04/2001,Greenwich Village
Tilia tomentosa,TREE,06/04/2001,Greenwich Village
Liquidambur styraciflua ;Moraine;,TREE,06/04/2001,Greenwich Village
Liquidambur styraciflua ;Moraine;,TREE,06/04/2001,Greenwich Village
Liquidambur styraciflua ;Moraine;,TREE,06/04/2001,Greenwich Village
4A Waterfront North of Clarkson by vent shaft,PLANTBED,06/04/2001,Greenwich Village
Hydrangea paniculata 6ct,SHRUB,06/04/2001,Greenwich Village
Taxus cuspidata ;Nana; 16ct,SHRUB,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
4A Waterfront southernmost west bed between Morton st and Christopher st,PLANTBED,06/04/2001,Greenwich Village
Taxus cuspidata ;Nana; 18ct,SHRUB,06/04/2001,Greenwich Village
Spirea x bumalda ;Anthony Waterer; 88ct,SHRUB,06/04/2001,Greenwich Village
Ulmus Hollandia ;Groenueli;,TREE,06/04/2001,Greenwich Village
Ulmus Hollandia ;Groenueli;,TREE,06/04/2001,Greenwich Village
Ulmus Hollandia ;Groenueli;,TREE,06/04/2001,Greenwich Village
Ulmus Hollandia ;Groenueli;,TREE,06/04/2001,Greenwich Village
Ulmus Hollandia ;Groenueli;,TREE,06/04/2001,Greenwich Village
Ulmus Hollandia ;Groenueli;,TREE,06/04/2001,Greenwich Village
4A Waterfront  southernmost lawn bed between Morton st and Christopher st,PLANTBED,06/04/2001,Greenwich Village
Clethra alnifolia ;Hummingbird; 16ct,SHRUB,06/04/2001,Greenwich Village
Taxus cuspidata ;Nana; 10ct,SHRUB,06/04/2001,Greenwich Village
Hydrangea quercifolia 7ct,SHRUB,06/04/2001,Greenwich Village
Rosa ;Carefree Delight; 12ct,SHRUB,06/04/2001,Greenwich Village
Myrica pennsylvanica 21ct,SHRUB,06/04/2001,Greenwich Village
Eupatorium fistulosum ;Gateway;,PERENNIAL,06/04/2001,Greenwich Village
Rosa Magic Meidiland ;Meibonrib; 29ct,SHRUB,06/04/2001,Greenwich Village
Ilex glabra ;Compacta;  25ct,SHRUB,06/04/2001,Greenwich Village
Miscanthus sinensis ;Morning Light; 6ct,GRASS,06/04/2001,Greenwich Village
Miscanthus ???,GRASS,06/04/2001,Greenwich Village
Taxus cuspidata ;Densiformis; 35ct,SHRUB,06/04/2001,Greenwich Village
Vinca minor 250ct,GRASS,06/04/2001,Greenwich Village
Artemisia x ;Powis Castle;,PERENNIAL,06/04/2001,Greenwich Village
Quercus macrocarpa,TREE,06/04/2001,Greenwich Village
Quercus macrocarpa,TREE,06/04/2001,Greenwich Village
Quercus macrocarpa,TREE,06/04/2001,Greenwich Village
Quercus macrocarpa,TREE,06/04/2001,Greenwich Village
Quercus phellos,TREE,06/04/2001,Greenwich Village
Quercus phellos,TREE,06/04/2001,Greenwich Village
Pinus rigida,TREE,06/04/2001,Greenwich Village
Pinus rigida,TREE,06/04/2001,Greenwich Village
Pinus rigida,TREE,06/04/2001,Greenwich Village
Pinus rigida,TREE,06/04/2001,Greenwich Village
Pinus bungeana,TREE,06/04/2001,Greenwich Village
Pinus bungeana,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Nyssa sylvatica,TREE,06/04/2001,Greenwich Village
Gymnocladus dioicius ;Expresso;,TREE,06/04/2001,Greenwich Village
Quercus robur,TREE,06/04/2001,Greenwich Village
Quercus robur,TREE,06/04/2001,Greenwich Village
Quercus robur,TREE,06/04/2001,Greenwich Village
Quercus rubra,TREE,06/04/2001,Greenwich Village
Magnolia virginiana,TREE,06/04/2001,Greenwich Village
Magnolia virginiana,TREE,06/04/2001,Greenwich Village
Magnolia virginiana,TREE,06/04/2001,Greenwich Village
Magnolia virginiana,TREE,06/04/2001,Greenwich Village
Magnolia x soulangeana,TREE,06/04/2001,Greenwich Village
Liquidambur styraciflua ;Moraine;,TREE,06/04/2001,Greenwich Village
Liquidambur styraciflua ;Moraine;,TREE,06/04/2001,Greenwich Village
Quercus phellos,TREE,06/04/2001,Greenwich Village
Ginkgo biloba,TREE,06/04/2001,Greenwich Village
Pinus parviflora,TREE,06/04/2001,Greenwich Village
Pinus parviflora,TREE,06/04/2001,Greenwich Village
4A Waterfront Christoper st. fountain trees,PLANTBED,06/04/2001,Greenwich Village
Tilia tomentosa,TREE,06/04/2001,Greenwich Village
Tilia tomentosa,TREE,06/04/2001,Greenwich Village
Tilia tomentosa,TREE,06/04/2001,Greenwich Village
Tilia tomentosa,TREE,06/04/2001,Greenwich Village
Tilia tomentosa,TREE,06/04/2001,Greenwich Village
Tilia tomentosa,TREE,06/04/2001,Greenwich Village
Tilia tomentosa,TREE,06/04/2001,Greenwich Village
Tilia tomentosa,TREE,06/04/2001,Greenwich Village
4A Waterfront Southernmost bed by south comfort station,PLANTBED,06/04/2001,Greenwich Village
Rosa ???,SHRUB,06/04/2001,Greenwich Village
Itea virginica 8ct,SHRUB,06/04/2001,Greenwich Village
Nandina domestica ;Harbour Dwarf; 8ct,SHRUB,06/04/2001,Greenwich Village
Taxus cuspidata ;Densiformis; 35ct,SHRUB,06/04/2001,Greenwich Village
Ilex glabra ;Compacta;  25ct,SHRUB,06/04/2001,Greenwich Village
Sedum spectabile 6ct,PERENNIAL,06/04/2001,Greenwich Village
Hydrangea quercifolia 7ct,SHRUB,06/04/2001,Greenwich Village
Pennisetum alopecuroides ;Hamelin; 26ct,GRASS,06/04/2001,Greenwich Village
Campsis radicans ;Flava; 12ct,VINE,06/04/2001,Greenwich Village
Wisteria floribunda 12ct,VINE,06/04/2001,Greenwich Village
Myrica pennsylvanica 2ct,SHRUB,06/04/2001,Greenwich Village
Rosa Scarlet Meidiland 13ct,SHRUB,06/04/2001,Greenwich Village
Magnolia x soulangeana,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Quercus spp??,TREE,06/04/2001,Greenwich Village
Ginkgo biloba,TREE,06/04/2001,Greenwich Village
Pyrus calleryana ;Chanticleer;,TREE,06/04/2001,Greenwich Village
Pyrus calleryana ;Chanticleer;,TREE,06/04/2001,Greenwich Village
Pyrus calleryana ;Chanticleer;,TREE,06/04/2001,Greenwich Village
4A Waterfront bed north of south comfort station,PLANTBED,06/04/2001,Greenwich Village
Rosa Scarlet Meidiland 16ct,SHRUB,06/04/2001,Greenwich Village
Myrica pennsylvanica 8ct,SHRUB,06/04/2001,Greenwich Village
Taxus cuspidata ;Nana; 12ct,SHRUB,06/04/2001,Greenwich Village
Calamagrostis x acutiflora ;Karle Foerster; 8ct,GRASS,06/04/2001,Greenwich Village
Ilex glabra ;Compacta;  25ct,SHRUB,06/04/2001,Greenwich Village
Nandina domestica ;Harbour Dwarf; 2ct,SHRUB,06/04/2001,Greenwich Village
Pyrus calleryana ;Chanticleer;,TREE,06/04/2001,Greenwich Village
Pyrus calleryana ;Chanticleer;,TREE,06/04/2001,Greenwich Village
Pyrus calleryana ;Chanticleer;,TREE,06/04/2001,Greenwich Village
Quercus macrocarpa,TREE,06/04/2001,Greenwich Village
Quercus macrocarpa,TREE,06/04/2001,Greenwich Village
Quercus macrocarpa,TREE,06/04/2001,Greenwich Village
Carpinus betulus,TREE,06/04/2001,Greenwich Village
Gymnocladus dioicius ;Expresso;,TREE,06/04/2001,Greenwich Village
Quercus robur,TREE,06/04/2001,Greenwich Village
Quercus robur,TREE,06/04/2001,Greenwich Village
4A Waterfront Apple Garden,PLANTBED,06/04/2001,Greenwich Village
Buxus,SHRUB,06/04/2001,Greenwich Village
Pinus flexilis,TREE,06/04/2001,Greenwich Village
Pinus parviflora,TREE,06/04/2001,Greenwich Village
Pinus parviflora,TREE,06/04/2001,Greenwich Village
Pinus bungeana,TREE,06/04/2001,Greenwich Village
Gymnocladus dioicius ;Expresso;,TREE,06/04/2001,Greenwich Village
Ginkgo biloba,TREE,06/04/2001,Greenwich Village
Ginkgo biloba,TREE,06/04/2001,Greenwich Village
Liquidambur styraciflua ;Moraine;,TREE,06/04/2001,Greenwich Village
Liquidambur styraciflua ;Moraine;,TREE,06/04/2001,Greenwich Village
Nyssa sylvatica,TREE,06/04/2001,Greenwich Village
Nyssa sylvatica,TREE,06/04/2001,Greenwich Village
Nyssa sylvatica,TREE,06/04/2001,Greenwich Village
4C Pier 45 - Eastern bed,PLANTBED,06/04/2001,Greenwich Village
Rosa Magic Meidiland ;Meidonrib; 80ct,SHRUB,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
4C Pier 45 - Western bed,PLANTBED,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
4B Waterfront Charles st. Bosque,PLANTBED,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
4B Waterfront Lawn bed and tree pits between Charles st. and W. 11st.,PLANTBED,06/04/2001,Greenwich Village
Ilex glabra ;Compacta; 9ct,SHRUB,06/04/2001,Greenwich Village
Myrica pensylvanica 8ct,SHRUB,06/04/2001,Greenwich Village
Taxus cuspidata ;Nana; 55ct,SHRUB,06/04/2001,Greenwich Village
Hydrangea quercifolia ;Snow Queen; 12ct,SHRUB,06/04/2001,Greenwich Village
Panicum virgatum ;Heavy Metal; 6ct,GRASS,06/04/2001,Greenwich Village
Miscanthus sinensis ;Morning Light; 14ct,GRASS,06/04/2001,Greenwich Village
Rose White Meidland,SHRUB,06/04/2001,Greenwich Village
Nepeta mussinii ;Blue Wonder; 37ct,PERENNIAL,06/04/2001,Greenwich Village
Buddleia davidii ;Black Knight; 4ct,SHRUB,06/04/2001,Greenwich Village
Eupatorium fistulosum ;Gateway; 10ct,PERENNIAL,06/04/2001,Greenwich Village
Sedum telephium ;Autumn Joy;,PERENNIAL,06/04/2001,Greenwich Village
Quercus macrocarpa,TREE,06/04/2001,Greenwich Village
Quercus macrocarpa,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Pinus parviflora,TREE,06/04/2001,Greenwich Village
Quercus alba,TREE,06/04/2001,Greenwich Village
Quercus alba,TREE,06/04/2001,Greenwich Village
Achillea 3ct,PERENNIAL,06/04/2001,Greenwich Village
Stachys?,PERENNIAL,06/04/2001,Greenwich Village
Quercus macrocarpa,TREE,06/04/2001,Greenwich Village
Quercus palustris,TREE,06/04/2001,Greenwich Village
Quercus rubra,TREE,06/04/2001,Greenwich Village
Quercus rubra,TREE,06/04/2001,Greenwich Village
Quercus rubra,TREE,06/04/2001,Greenwich Village
Quercus rubra,TREE,06/04/2001,Greenwich Village
Ulmus hollandica ;Groenueli;,TREE,06/04/2001,Greenwich Village
Ulmus hollandica ;Groenueli;,TREE,06/04/2001,Greenwich Village
Ulmus hollandica ;Groenueli;,TREE,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Chionanthus virginicus,TREE,06/04/2001,Greenwich Village
Chionanthus virginicus,TREE,06/04/2001,Greenwich Village
Chionanthus virginicus,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Lavendula 10ct,PERENNIAL,06/04/2001,Greenwich Village
Grass? 4ct,GRASS,06/04/2001,Greenwich Village
4B Waterfront Bosque at W. 11st.,PLANTBED,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
4C Pier 46,PLANTBED,06/04/2001,Greenwich Village
Sasa minor 100ct,GRASS,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Koelreuteria paniculata,TREE,06/04/2001,Greenwich Village
Koelreuteria paniculata,TREE,06/04/2001,Greenwich Village
Koelreuteria paniculata,TREE,06/04/2001,Greenwich Village
Koelreuteria paniculata,TREE,06/04/2001,Greenwich Village
Koelreuteria paniculata,TREE,06/04/2001,Greenwich Village
Koelreuteria paniculata,TREE,06/04/2001,Greenwich Village
Rosa? 35ct,SHRUB,06/04/2001,Greenwich Village
Vinca minor 180ct,GRNDCOVR,06/04/2001,Greenwich Village
Euonymous fortunei ;Colorata; 40ct,GRNDCOVR,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Sophora japonica ;Regent;,TREE,06/04/2001,Greenwich Village
Sophora japonica ;Regent;,TREE,06/04/2001,Greenwich Village
Sophora japonica ;Regent;,TREE,06/04/2001,Greenwich Village
4C Lawn bed and tree pits from w11st. To hill at north end of aids memorial,PLANTBED,06/04/2001,Greenwich Village
Ilex glabra ;Compacta; 19ct,SHRUB,06/04/2001,Greenwich Village
Hydrangea macrophylla ;Blue Wave; 8ct,SHRUB,06/04/2001,Greenwich Village
Rosa White Meidiland PP#6088 4ct,SHRUB,06/04/2001,Greenwich Village
Miscanthus sinensis ;Morning Light; 22ct,GRASS,06/04/2001,Greenwich Village
Taxus cuspidata ;Nana; 45ct,SHRUB,06/04/2001,Greenwich Village
Pinus mugo ;Sherwood; 3ct,SHRUB,06/04/2001,Greenwich Village
Panicum virgatum ;Heavy Metal; 5ct,GRASS,06/04/2001,Greenwich Village
Eupatorium fistulosum ;Gateway; 6ct,PERENNIAL,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Zelkova serrata ;Green Vase;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Nyssa sylvatica,TREE,06/04/2001,Greenwich Village
Quercus macrocarpa,TREE,06/04/2001,Greenwich Village
Quercus macrocarpa,TREE,06/04/2001,Greenwich Village
Quercus macrocarpa,TREE,06/04/2001,Greenwich Village
Liquidambur styraciflua ;Moraine;,TREE,06/04/2001,Greenwich Village
Liquidambur styraciflua ;Moraine;,TREE,06/04/2001,Greenwich Village
Chionanthus virginicus,TREE,06/04/2001,Greenwich Village
Chionanthus virginicus,TREE,06/04/2001,Greenwich Village
Chionanthus virginicus,TREE,06/04/2001,Greenwich Village
Chionanthus virginicus,TREE,06/04/2001,Greenwich Village
Chionanthus virginicus,TREE,06/04/2001,Greenwich Village
Pinus strobus,TREE,06/04/2001,Greenwich Village
Pinus strobus,TREE,06/04/2001,Greenwich Village
Pinus strobus,TREE,06/04/2001,Greenwich Village
Pinus strobus,TREE,06/04/2001,Greenwich Village
Pinus strobus,TREE,06/04/2001,Greenwich Village
Pinus strobus,TREE,06/04/2001,Greenwich Village
Pinus strobus,TREE,06/04/2001,Greenwich Village
Pinus rigida,TREE,06/04/2001,Greenwich Village
Pinus rigida,TREE,06/04/2001,Greenwich Village
Pinus flexilis,TREE,06/04/2001,Greenwich Village
Pinus flexilis,TREE,06/04/2001,Greenwich Village
Pinus flexilis,TREE,06/04/2001,Greenwich Village
Pinus flexilis,TREE,06/04/2001,Greenwich Village
Pinus flexilis,TREE,06/04/2001,Greenwich Village
Pinus flexilis,TREE,06/04/2001,Greenwich Village
Pinus flexilis,TREE,06/04/2001,Greenwich Village
Pinus flexilis,TREE,06/04/2001,Greenwich Village
Pinus flexilis,TREE,06/04/2001,Greenwich Village
Quercus alba,TREE,06/04/2001,Greenwich Village
Quercus macrocarpa,TREE,06/04/2001,Greenwich Village
Quercus macrocarpa,TREE,06/04/2001,Greenwich Village
"4C Waterfront North of Bank st - Southernmost Bed, West Side",PLANTBED,06/04/2001,Greenwich Village
Spirea x bumalda ;Anthony Waterer; 76ct,SHRUB,06/04/2001,Greenwich Village
Taxus cuspidata ;Nana; 5ct,SHRUB,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
"4C Waterfront South of w. 12th st.  Bed along walkway, West Side",PLANTBED,06/04/2001,Greenwich Village
Taxus cuspidata ;Nana; 10ct,SHRUB,06/04/2001,Greenwich Village
Spirea x bumalda ;Anthony Waterer; 70ct,SHRUB,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Ulmus americana,TREE,06/04/2001,Greenwich Village
Magnolia virginiana,TREE,06/04/2001,Greenwich Village
Magnolia virginiana,TREE,06/04/2001,Greenwich Village
Magnolia virginiana,TREE,06/04/2001,Greenwich Village
Magnolia virginiana,TREE,06/04/2001,Greenwich Village
Magnolia virginiana,TREE,06/04/2001,Greenwich Village
Magnolia virginiana,TREE,06/04/2001,Greenwich Village
4C Waterfront east Lawn Bed from hill north of aids memorial to w. 12th st.,PLANTBED,06/04/2001,Greenwich Village
Myrica pensylvanica 37ct,SHRUB,06/04/2001,Greenwich Village
Ilex glabra ;Compacta; 101ct,SHRUB,06/04/2001,Greenwich Village
Eupatorium fistulosum ;Gateway; 13ct,PERENNIAL,06/04/2001,Greenwich Village
Cotoneaster horizontalis 9ct,SHRUB,06/04/2001,Greenwich Village
Taxus cuspidata ;Nana; 80ct,SHRUB,06/04/2001,Greenwich Village
Rosa? 9ct,SHRUB,06/04/2001,Greenwich Village
Sedum telephium 20ct,PERENNIAL,06/04/2001,Greenwich Village
Magnolia soulangiana,TREE,06/04/2001,Greenwich Village
Magnolia soulangiana,TREE,06/04/2001,Greenwich Village
Magnolia soulangiana,TREE,06/04/2001,Greenwich Village
Magnolia soulangiana,TREE,06/04/2001,Greenwich Village
Magnolia soulangiana,TREE,06/04/2001,Greenwich Village
Magnolia soulangiana,TREE,06/04/2001,Greenwich Village
Magnolia soulangiana,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Amelanchier canadensis,TREE,06/04/2001,Greenwich Village
Liquidambur styraciflua ;Moraine;,TREE,06/04/2001,Greenwich Village
Liquidambur styraciflua ;Moraine;,TREE,06/04/2001,Greenwich Village
Acer rubrum,TREE,06/04/2001,Greenwich Village
Acer rubrum,TREE,06/04/2001,Greenwich Village
Acer rubrum,TREE,06/04/2001,Greenwich Village
Acer rubrum,TREE,06/04/2001,Greenwich Village
Acer rubrum,TREE,06/04/2001,Greenwich Village
Acer rubrum,TREE,06/04/2001,Greenwich Village
Quercus phellos,TREE,06/04/2001,Greenwich Village
Quercus phellos,TREE,06/04/2001,Greenwich Village
Quercus phellos,TREE,06/04/2001,Greenwich Village
Quercus alba,TREE,06/04/2001,Greenwich Village
Quercus acutissima,TREE,06/04/2001,Greenwich Village
Quercus acutissima,TREE,06/04/2001,Greenwich Village
Nyssa sylvatica,TREE,06/04/2001,Greenwich Village
Gleditsia triacanthos inermis ;Shademaster;,TREE,06/04/2001,Greenwich Village
Syringa laciniata,TREE,06/04/2001,Greenwich Village
Syringa laciniata,TREE,06/04/2001,Greenwich Village
4C Waterfront North Comfort Station bed from West 12th st. to Jane st. crosswalk,PLANTBED,06/04/2001,Greenwich Village
Rosa Magic Meidiland ;Meibonrib; 13ct,SHRUB,06/04/2001,Greenwich Village
